field	count
all_edits	3758062
minor_edits	600606
average_size	209
distinct_pages	1550572
distinct_editors	471502
distinct_servers	280
origin	1444077595
batch_elapsed_time	23m12.315s
total_executor_cores	4
input_size	5145694870
stream_all_edits	157
stream_minor_edits	28
