field	count
all_edits	1363818
minor_edits	223849
average_size	197
distinct_pages	639723
distinct_editors	199556
distinct_servers	268
origin	1444077595
batch_elapsed_time	5m1.232s
total_executor_cores	4
input_size	1685608922
stream_all_edits	134
stream_minor_edits	25
